Repeatid	Indist	Frequency
182171874	TRUE	0.134078212290503
182173490	TRUE	0.058659217877095
182217887	TRUE	0.00837988826815642
182219228	TRUE	0.0195530726256983
182219347	TRUE	0.187150837988827
182219433	TRUE	0.0810055865921788
182240464	TRUE	0.220670391061453
182244393	TRUE	0.441340782122905
182245890	TRUE	0.0223463687150838
182253120	FALSE	0.0223463687150838
182253157	TRUE	0.282122905027933
182257301	FALSE	0.00837988826815642
182257944	TRUE	0.122905027932961
182265739	TRUE	0.00837988826815642
182268570	TRUE	0.00837988826815642
182268638	TRUE	0.0195530726256983
182280854	FALSE	0.167597765363128
182283303	TRUE	0.0139664804469274
182296413	TRUE	0.0167597765363129
182303533	FALSE	0.00558659217877095
182313972	TRUE	0.106145251396648
182316282	FALSE	0.284916201117318
182318295	FALSE	0.00837988826815642
182318566	TRUE	0.114525139664804
182322451	TRUE	0.00558659217877095
182324003	TRUE	0.628491620111732
182330207	FALSE	0.0167597765363129
182336296	FALSE	0.0139664804469274
182347141	TRUE	0.0921787709497207
182352606	TRUE	0.00837988826815642
182367604	FALSE	0.00837988826815642
182370223	FALSE	0.00558659217877095
182371894	FALSE	0.00837988826815642
182373472	FALSE	0.00558659217877095
182374347	FALSE	0.181564245810056
182381885	TRUE	0.868715083798883
182384044	FALSE	0.00558659217877095
182393623	FALSE	0.00837988826815642
182409733	TRUE	0.0251396648044693
182410339	FALSE	0.00558659217877095
182417960	TRUE	0.301675977653631
182424935	TRUE	0.00558659217877095
182430254	FALSE	0.0307262569832402
182430974	TRUE	0.00837988826815642
182431579	FALSE	0.00558659217877095
182439018	FALSE	0.00837988826815642
182439294	TRUE	0.399441340782123
182441440	TRUE	0.00837988826815642
182457631	FALSE	0.00837988826815642
182459447	FALSE	0.00558659217877095
182462797	TRUE	0.00837988826815642
182471301	TRUE	0.0111731843575419
182473744	FALSE	0.00837988826815642
182488496	FALSE	0.0223463687150838
182496584	FALSE	0.0111731843575419
182498907	TRUE	0.212290502793296
182498983	TRUE	0.0195530726256983
182511237	TRUE	0.0391061452513967
182530181	FALSE	0.00279329608938548
182530881	TRUE	0.00558659217877095
182543448	TRUE	0.00558659217877095
182547612	TRUE	0.0195530726256983
182548774	TRUE	0.608938547486034
182550250	TRUE	0.00558659217877095
182550254	TRUE	0.220670391061453
182553283	TRUE	0.402234636871508
182557469	FALSE	0.0307262569832402
182568253	TRUE	0.100558659217877
182571350	FALSE	0.374301675977654
182580875	TRUE	0.00558659217877095
182593991	TRUE	0.00837988826815642
182603468	TRUE	0.189944134078212
182608999	FALSE	0.173184357541899
182620926	FALSE	0.173184357541899
182621445	FALSE	0.184357541899441
182639301	FALSE	0.0502793296089386
182641243	TRUE	0.058659217877095
182656245	FALSE	0.00558659217877095
182666654	TRUE	0.324022346368715
182667379	TRUE	0.122905027932961
182672715	TRUE	0.463687150837989
182678997	FALSE	0.058659217877095
182679182	FALSE	0.226256983240223
182694767	TRUE	0.0223463687150838
182698293	TRUE	0.276536312849162
182712186	FALSE	0.310055865921788
182712259	TRUE	0.00837988826815642
182713745	TRUE	0.00837988826815642
182713835	FALSE	0.636871508379888
182733573	TRUE	0.00558659217877095
182741822	FALSE	0.00558659217877095
182743123	FALSE	0.00837988826815642
182745399	FALSE	0.128491620111732
182748360	TRUE	0.111731843575419
182756589	FALSE	0.00837988826815642
182763988	TRUE	0.449720670391061
182771275	FALSE	0.00837988826815642
182796136	TRUE	0.00558659217877095
182797565	FALSE	0.17877094972067
182800293	FALSE	0.0111731843575419
182803180	FALSE	0.00837988826815642
182808378	TRUE	0.00837988826815642
182813487	FALSE	0.00279329608938548
182815120	TRUE	0.631284916201117
182817229	TRUE	0.108938547486034
182817392	TRUE	0.0167597765363129
182817498	TRUE	0.00837988826815642
182817573	TRUE	0.00837988826815642
182817966	TRUE	0.0698324022346369
182818447	TRUE	0.053072625698324
182822609	TRUE	0.315642458100559
182856779	FALSE	0.0810055865921788
182877051	TRUE	0.0837988826815642
182904125	TRUE	0.00837988826815642
182905049	TRUE	0.0111731843575419
182914416	TRUE	0.0949720670391061
182914470	FALSE	0.00279329608938548
182925555	TRUE	0.458100558659218
182930449	TRUE	0.94413407821229
182930518	TRUE	0.759776536312849
182932639	TRUE	0.153631284916201
182939990	FALSE	0.00837988826815642
182947800	FALSE	0.449720670391061
182950483	FALSE	0.0251396648044693
182954604	TRUE	0.608938547486034
182956273	FALSE	0.0111731843575419
182959368	FALSE	0.00279329608938548
182974881	TRUE	0.00837988826815642
182979643	FALSE	0.173184357541899
182988042	TRUE	0.164804469273743
182988379	FALSE	0.189944134078212
182991529	TRUE	0.195530726256983
182993499	FALSE	0.00837988826815642
183001676	TRUE	0.00558659217877095
183016363	TRUE	0.0698324022346369
183020130	TRUE	0.0977653631284916
183025159	FALSE	0.00837988826815642
183027137	TRUE	0.634078212290503
183036234	TRUE	0.474860335195531
183042451	TRUE	0.290502793296089
183053462	FALSE	0.00837988826815642
183053975	FALSE	0.122905027932961
